Number of threads;Ticks;Result
1;12.100;0
2;5.941;1.351,29
3;8.403;1.561,19
4;10.653;1.655,59
5;12.939;1.710,08
6;13.671;1.745,90
7;18.117;1.770,55
8;20.810;1.788,49
9;17.554;1.802,68
10;14.044;1.814,57
11;12.817;1.823,49
12;12.986;1.831,48
13;14.726;1.837,66
14;15.979;1.843,20
15;17.014;1.847,99
16;18.425;1.852,09
17;20.225;1.855,54
18;23.697;1.858,89
19;20.192;1.861,87
20;21.873;1.864,68
21;24.029;1.866,79
22;25.655;1.869,08
23;25.707;1.870,98
24;29.623;1.872,68
25;32.773;1.874,48
26;25.990;1.875,95
27;35.501;1.877,21
28;36.590;1.878,61
29;36.563;1.879,74
30;32.211;1.880,91
31;40.087;1.882,00
32;63.314;1.883,27
33;41.487;1.884,07
34;41.388;1.884,89
35;57.983;1.885,74
36;43.666;1.886,24
37;42.514;1.887,14
38;47.716;1.887,83
39;46.969;1.888,50
40;47.658;1.889,10
41;48.896;1.889,66
42;42.708;1.889,85
43;46.403;1.890,58
44;48.260;1.891,06
45;49.640;1.891,65
46;53.412;1.891,82
47;50.561;1.892,36
48;67.238;1.892,92
49;66.651;1.893,07
50;60.832;1.893,85
